Months,total_laid_by_month,Rolling_total_of_laidOff
2023-01,87344,87344
2023-02,39685,127029
2023-03,34629,161658
2023-04,19623,181281
2023-05,13687,194968
2023-06,10001,204969
2023-07,8399,213368
2023-08,10178,223546
2023-09,4607,228153
2023-10,7991,236144
2023-11,8289,244433
2023-12,6932,251365
2024-01,33256,284621
2024-02,15729,300350
2024-03,7303,307653
2024-04,22173,329826
2024-05,6011,335837
2024-06,6583,342420
2024-07,8651,351071
2024-08,24563,375634
2024-09,3608,379242
2024-10,3630,382872
2024-11,6256,389128
2024-12,2268,391396
2025-01,2403,393799
2025-02,14084,407883
2025-03,4595,412478
